Name,Address,Rating,Blurb
Zuni Café (8.8),"1658 Market St, San Francisco, CA 94102",8.8,"SF institution since 1979 — wood-fired roast chicken for two with warm bread salad, oysters, and espresso granita."
State Bird Provisions (9.0),"1529 Fillmore St, San Francisco, CA 94115",9.0,"Michelin-starred Californian small plates served dim-sum style from roving carts. The namesake fried quail is mandatory."
Rich Table (9.2),"199 Gough St, San Francisco, CA 94102",9.2,"Playful Michelin-starred Cal cuisine — sardine chips and porcini doughnuts have been famous for a decade for a reason."
Lazy Bear (9.4),"3416 19th St, San Francisco, CA 94110",9.4,"Two-Michelin-star communal dinner party in the Mission. Tasting menu, hearth cooking, and a genuinely fun room."
Californios (9.4),"355 11th St, San Francisco, CA 94103",9.4,"Two Michelin stars for the most refined modern Mexican tasting menu in the country. Caviar-topped masa everything."
Benu (9.2),"22 Hawthorne St, San Francisco, CA 94105",9.2,"Corey Lee's three-Michelin-star Asian-inflected tasting menu. The faux-shark-fin soup is an all-timer splurge."
Atelier Crenn (9.2),"3127 Fillmore St, San Francisco, CA 94123",9.2,"Dominique Crenn's three-star 'poetic culinaria' — the menu is literally a poem, seafood-and-vegetable driven."
Saison (9.0),"178 Townsend St, San Francisco, CA 94107",9.0,"Open-hearth fine dining where nearly everything touches live fire. Legendary caviar and antelope courses."
House of Prime Rib (9.2),"1906 Van Ness Ave, San Francisco, CA 94109",9.2,"Old-school SF at its best — prime rib carved tableside from silver carts, spinning salads, and stiff martinis."
Swan Oyster Depot (9.4),"1517 Polk St, San Francisco, CA 94109",9.4,"Century-old marble counter with 18 stools. Crab Louie, smoked salmon 'Sicilian sashimi', and the best line in SF."
Tartine Bakery (9.0),"600 Guerrero St, San Francisco, CA 94110",9.0,"The bakery that changed American bread. Morning buns, country loaf, and banana cream tarts worth the Mission queue."
La Taqueria (9.0),"2889 Mission St, San Francisco, CA 94110",9.0,"James Beard-winning Mission burrito — no rice, griddled 'dorado style' carnitas. A pilgrimage site."
Nopa (9.0),"560 Divisadero St, San Francisco, CA 94117",9.0,"Wood-fired urban rustic Californian open late. Pork chop, flatbread, and the burger that anchors the whole city."
Flour + Water (9.0),"2401 Harrison St, San Francisco, CA 94110",9.0,"The Mission's handmade-pasta temple. Do the pasta tasting menu and don't look back."
Kokkari Estiatorio (9.4),"200 Jackson St, San Francisco, CA 94111",9.4,"Sumptuous Greek taverna with a roaring fireplace — grilled lamb chops, whole fish, and avgolemono soup."
Gary Danko (9.4),"800 N Point St, San Francisco, CA 94109",9.4,"Classic tasting-menu fine dining near the wharf. Impeccable service, roasted lobster, and a rolling cheese cart."
Acquerello (9.4),"1722 Sacramento St, San Francisco, CA 94109",9.4,"Two-Michelin-star refined Italian in a former chapel. Parmesan budino and a legendary Italian wine list."
Mister Jiu's (8.8),"28 Waverly Pl, San Francisco, CA 94108",8.8,"Michelin-starred Cantonese in a historic Chinatown banquet hall — quail with liver mousse, Dutch crunch BBQ pork buns."
Che Fico (8.8),"838 Divisadero St, San Francisco, CA 94117",8.8,"Buzzy Cal-Italian with Roman-style pizza, house salumi, and a room that always feels like a party."
Burma Superstar (9.0),"309 Clement St, San Francisco, CA 94118",9.0,"The Richmond's Burmese star — fermented tea leaf salad tossed tableside and coconut chicken noodles."
San Ho Won (9.0),"2170 Bryant St, San Francisco, CA 94110",9.0,"Corey Lee's Michelin-starred Korean charcoal BBQ — galbi cooked over binchotan, perfect banchan."
Cotogna (9.2),"490 Pacific Ave, San Francisco, CA 94133",9.2,"Rustic Italian next door to Quince — wood-fired meats, ethereal agnolotti, and one of the city's best-value prix fixes."
Sons & Daughters (9.2),"708 Bush St, San Francisco, CA 94108",9.2,"Michelin-starred Nob Hill tasting menu, Nordic-leaning and hyper-seasonal — named to North America's 50 Best."
Nari (9.0),"1625 Post St, San Francisco, CA 94115",9.0,"Pim Techamuanvivit's Michelin-starred Thai in Japantown — refined curries and khao soi that punch way above."
Osito (9.4),"2875 18th St, San Francisco, CA 94110",9.4,"Michelin-starred live-fire tasting menu — every course cooked over open flame at one long communal counter."
Hog Island Oyster Co. (9.2),"1 Ferry Building #11, San Francisco, CA 94111",9.2,"Tomales Bay oysters shucked to order with a Bay Bridge view. The grilled cheese and clam chowder are sleepers."
Liholiho Yacht Club (9.0),"871 Sutter St, San Francisco, CA 94109",9.0,"Heritage Hawaiian-Californian — tuna poke on nori crackers, squid-ink rice, and the baked Hawaii dessert."
Kin Khao (8.8),"55 Cyril Magnin St, San Francisco, CA 94102",8.8,"Michelin-starred Thai hidden in a Union Square hotel — rabbit green curry and pretty-hot wings, zero compromises."
Zazie (9.2),"941 Cole St, San Francisco, CA 94117",9.2,"Cole Valley's beloved brunch garden — gingerbread pancakes, tip-free since 2015, and worth every minute of the wait."
Angler (8.8),"132 The Embarcadero, San Francisco, CA 94105",8.8,"Saison's wood-fired seafood sibling on the water — radicchio 'XO' salad, whole fish, and Parker House rolls."
